"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2003","50","SO2","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS","17","30","50","19","21","30"
"01/02/2003","73","NO2","CTA BUILDING","17-031-0063","AQS","18","28","14","18","39","73"
"01/03/2003","93","NO2","CTA BUILDING","17-031-0063","AQS","28","25","41","36","83","93"
"01/04/2003","81","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","36","18","21","28","81","52"
"01/05/2003","95","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","26","14","21","31","95","34"
"01/06/2003","73","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","20","27","60","29","73","57"
"01/07/2003","60","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","18","13","44","22","60","40"
"01/08/2003","110","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","15","22","110","25","48","38"
"01/09/2003","95","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","9","26","95","36","52","40"
"01/10/2003","59","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","24","49","59","58","42"
"01/11/2003","56","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","27","56","33","43","36"
"01/12/2003","48","PM2.5","WASHINGTON HS","17-031-0022","AQS","15","25","33","24","48","42"
"01/13/2003","72","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","26","50","72","65","56"
"01/14/2003","64","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","24","44","34","64","47"
"01/15/2003","99","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","16","23","46","33","99","61"
"01/16/2003","97","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","19","28","97","76","78","60"
"01/17/2003","82","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","20","29","39","82","76","65"
"01/18/2003","67","PM2.5","WASHINGTON HS","17-031-0022","AQS","20","20","40","21","67","37"
"01/19/2003","62","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","17","27","62","25","49","42"
"01/20/2003","69","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","27","51","69","66","61"
"01/21/2003","99","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","29","59","81","99","82"
"01/22/2003","137","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","27","50","137","133","55"
"01/23/2003","128","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","26","77","106","128","50"
"01/24/2003","76","PM2.5","CARY GROVE HS","17-111-0001","AQS","23","20","46","30","76","51"
"01/25/2003","52","SO2","FIRESTATION","17-031-1018","AQS","22","27","52","31","45","37"
"01/26/2003","81","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","33","74","70","81","44"
"01/27/2003","83","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","33","26","47","51","83","69"
"01/28/2003","87","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","25","12","59","49","87","60"
"01/29/2003","67","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","23","25","44","19","67","64"
